team_season,severity,rule,detail
2005_CIN,WARN,inflated_qb,Carson Palmer QB 96 is 90+ with status=generated_high_confidence (no manual override)
2005_IND,WARN,inflated_qb,Peyton Manning QB 95 is 90+ with status=generated_high_confidence (no manual override)
2005_LAC,WARN,inflated_qb,Drew Brees QB 90 is 90+ with status=generated_high_confidence (no manual override)
2005_NE,WARN,inflated_qb,Tom Brady QB 93 is 90+ with status=generated_high_confidence (no manual override)
2005_SEA,WARN,inflated_qb,Matt Hasselbeck QB 92 is 90+ with status=generated_high_confidence (no manual override)
2006_CIN,WARN,inflated_qb,Carson Palmer QB 93 is 90+ with status=generated_high_confidence (no manual override)
2006_IND,WARN,inflated_qb,Peyton Manning QB 96 is 90+ with status=generated_high_confidence (no manual override)
2006_LAC,WARN,inflated_qb,Philip Rivers QB 90 is 90+ with status=generated_high_confidence (no manual override)
2006_NO,WARN,inflated_qb,Drew Brees QB 94 is 90+ with status=generated_high_confidence (no manual override)
2006_STL,WARN,inflated_qb,Marc Bulger QB 92 is 90+ with status=generated_high_confidence (no manual override)
2007_DAL,WARN,inflated_qb,Tony Romo QB 95 is 90+ with status=generated_high_confidence (no manual override)
2007_GB,WARN,inflated_qb,Brett Favre QB 93 is 90+ with status=generated_high_confidence (no manual override)
2007_IND,WARN,inflated_qb,Peyton Manning QB 94 is 90+ with status=generated_high_confidence (no manual override)
2007_NO,WARN,inflated_qb,Drew Brees QB 91 is 90+ with status=generated_high_confidence (no manual override)
2007_PIT,WARN,inflated_qb,Ben Roethlisberger QB 94 is 90+ with status=generated_high_confidence (no manual override)
2007_SEA,WARN,inflated_qb,Matt Hasselbeck QB 92 is 90+ with status=generated_high_confidence (no manual override)
2008_ARI,WARN,inflated_qb,Kurt Warner QB 95 is 90+ with status=generated_high_confidence (no manual override)
2008_DEN,WARN,inflated_qb,Jay Cutler QB 91 is 90+ with status=generated_high_confidence (no manual override)
2008_GB,WARN,inflated_qb,Aaron Rodgers QB 93 is 90+ with status=generated_high_confidence (no manual override)
2008_IND,WARN,inflated_qb,Peyton Manning QB 92 is 90+ with status=generated_high_confidence (no manual override)
2008_LAC,WARN,inflated_qb,Philip Rivers QB 97 is 90+ with status=generated_high_confidence (no manual override)
2008_MIA,WARN,inflated_qb,Chad Pennington QB 90 is 90+ with status=generated_high_confidence (no manual override)
2008_NO,WARN,inflated_qb,Drew Brees QB 96 is 90+ with status=generated_high_confidence (no manual override)
