player_id,name,primary_position,birth_date,college,first_season,last_season,seasons_played,teams
ken-reeves,Ken Reeves,LT,1961-10-04,,1985,1990,6,CLE;PHI
ken-rice,Ken Rice,LT,1939-09-14,,1965,1967,3,LV;MIA
ken-riley,Ken Riley,CB,1947-08-06,,1969,1983,15,CIN
00-0014038,Ken Rose,LB,1962-06-09,UNLV,1987,1994,8,NYJ;PHI
00-0014150,Ken Ruettgers,LT,1962-08-20,USC,1985,1995,11,GB
ken-sager,Ken Sager,TE,1963-10-15,,1987,1987,1,SEA
ken-sanders,Ken Sanders,EDGE,1950-08-22,,1972,1981,10,DET;MIN
ken-sawyer,Ken Sawyer,CB,1952-07-22,,1974,1974,1,CIN
ken-schroy,Ken Schroy,S,1952-09-22,,1977,1984,8,NYJ
00-0020786,Ken Simonton,RB,1979-06-07,,2003,2003,1,BUF
ken-sims,Ken Sims,CB,1962-11-08,,1987,1987,1,ARI
ken-smith,Ken Smith,TE,1951-07-27,,1973,1987,2,CIN;CLE
ken-stabler,Ken Stabler,QB,1945-12-25,,1970,1984,15,LV;NO;TEN
ken-starch,Ken Starch,RB,1954-03-05,,1976,1976,1,GB
ken-stills,Ken Stills,CB,1963-09-06,,1985,1990,6,GB;MIN
ken-stone,Ken Stone,CB,1950-09-14,,1973,1980,8,ARI;TB;WAS
00-0015973,Ken Swilling,CB,1970-09-25,,1992,1992,1,CLE
ken-talton,Ken Talton,RB,1956-06-25,,1980,1980,1,KC
ken-taylor,Ken Taylor,CB,1963-09-02,,1986,1986,1,LAC
ken-thomas,Ken Thomas,RB,1960-02-11,,1983,1983,1,KC
ken-thompson,Ken Thompson,WR,1958-12-06,,1982,1983,2,ARI
ken-times,Ken Times,DT,1956-01-26,,1980,1981,2,ARI;SF
00-0016496,Ken Tippins,LB,1966-07-22,,1989,1995,7,ATL;DAL
ken-vinyard,Ken Vinyard,K,1947-06-18,,1970,1970,1,ATL
00-0017127,Ken Walter,P,1972-08-15,,1997,2006,9,CAR;NE;SEA
00-0035318,Ken Webster,CB,1996-06-19,Mississippi,2019,2020,2,MIA;SF
00-0017502,Ken Whisenhunt,TE,1962-02-28,Georgia Tech,1985,1992,7,ATL;NYJ;WAS
ken-willard,Ken Willard,RB,1943-07-14,,1965,1974,10,ARI;SF
ken-willis,Ken Willis,K,1966-10-06,,1990,1992,3,DAL;NYG
ken-woodard,Ken Woodard,LB,1960-01-22,,1982,1989,8,DEN;LAC;PIT
ken-zachary,Ken Zachary,RB,1963-11-19,,1987,1987,1,LAC
00-0020425,Ken-Yon Rambo,WR,1978-10-04,,2001,2003,3,DAL;NYJ
00-0009612,Kenard Lang,EDGE,1975-01-31,,1997,2006,10,CLE;DEN;WAS
00-0030000,Kenbrell Thompkins,WR,1988-07-29,Cincinnati,2013,2016,4,LV;NE;NYJ
kendal-smith,Kendal Smith,WR,1965-11-23,,1989,1990,2,CIN
00-0034125,Kendal Vickers,DT,1995-05-23,Tennessee,2020,2022,3,BUF;LV
00-0035603,Kendall Blanton,TE,1995-11-10,Missouri,2019,2021,2,STL
00-0034287,Kendall Donnerson,LB,1996-04-22,Southeast Missouri,2018,2018,1,GB
00-0033084,Kendall Fuller,CB,1995-02-13,Virginia Tech,2016,2024,8,KC;MIA;WAS
