player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0004541,,Donald Driver,WR,WR,,GB,2010,11,REG,MIN,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,4,7,31,0,0,0,35,25,2,-0.0928318405178121,0,0.885714285714286,0.21875,0.139442231075697,0.425734561752988,0,3.1,7.1
00-0004541,,Donald Driver,WR,WR,,GB,2010,12,REG,ATL,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,2,3,26,0,0,0,40,0,1,-1.34095577616245,0,0.65,0.0857142857142857,0.160642570281125,0.241021227768216,0,2.6,4.6
00-0004541,,Donald Driver,WR,WR,,GB,2010,13,REG,SF,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,4,8,73,1,0,0,64,51,2,2.31331208864554,0,1.140625,0.275862068965517,0.244274809160305,0.58478546986049,0,13.3,17.3
00-0004541,,Donald Driver,WR,WR,,GB,2010,14,REG,DET,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,2,8,12,0,0,0,118,0,0,-9.22848642378813,0,0.101694915254237,0.216216216216216,0.333333333333333,0.557657657657658,0,1.2,3.2
00-0004541,,Donald Driver,WR,WR,,GB,2010,15,REG,NE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,3,6,31,0,0,0,69,3,2,0.172243603796233,0,0.449275362318841,0.166666666666667,0.256505576208178,0.429553903345725,0,3.1,6.1
00-0004541,,Donald Driver,WR,WR,,GB,2010,16,REG,NYG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,3,5,44,0,0,0,78,3,2,3.4038125682273,0,0.564102564102564,0.135135135135135,0.189320388349515,0.335226974547363,0,4.4,7.4
00-0004541,,Donald Driver,WR,WR,,GB,2010,17,REG,CHI,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,5,5,41,0,1,1,26,15,2,-1.29479484830517,0,1.57692307692308,0.178571428571429,0.102766798418972,0.339793901750423,0,2.1,7.1
00-0004541,,Donald Driver,WR,WR,,GB,2010,18,POST,PHI,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,5,7,56,0,0,0,76,9,4,5.09553985320963,0,0.736842105263158,0.259259259259259,0.343891402714932,0.629612870789341,0,5.6,10.6
00-0004541,,Donald Driver,WR,WR,,GB,2010,19,POST,ATL,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,6,6,76,0,0,0,41,35,3,5.20135807868792,0,1.85365853658537,0.166666666666667,0.169421487603306,0.368595041322314,0,7.6,13.6
00-0004541,,Donald Driver,WR,WR,,GB,2010,20,POST,CHI,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,5,9,0,0,0,28,2,0,-11.7214708233951,0,0.321428571428571,0.166666666666667,0.0833333333333333,0.308333333333333,0,0.9,1.9
